timestamp,myecg,context_myecg,date (Asia/Dhaka)
1.67059E+12,617,{},2022-12-09 18:37:16.221000+06:00
1.67059E+12,602,{},2022-12-09 18:37:15.306000+06:00
1.67059E+12,746,{},2022-12-09 18:37:14.452000+06:00
1.67059E+12,528,{},2022-12-09 18:37:13.534000+06:00
1.67059E+12,521,{},2022-12-09 18:37:12.378000+06:00
1.67059E+12,553,{},2022-12-09 18:37:11.366000+06:00
1.67059E+12,629,{},2022-12-09 18:37:10.359000+06:00
1.67059E+12,523,{},2022-12-09 18:37:09.277000+06:00
1.67059E+12,502,{},2022-12-09 18:37:08.384000+06:00
1.67059E+12,490,{},2022-12-09 18:37:07.344000+06:00
1.67059E+12,536,{},2022-12-09 18:37:06.234000+06:00
1.67059E+12,476,{},2022-12-09 18:37:05.186000+06:00
1.67059E+12,521,{},2022-12-09 18:37:04.022000+06:00
1.67059E+12,528,{},2022-12-09 18:37:03.415000+06:00
1.67059E+12,510,{},2022-12-09 18:37:02.497000+06:00
1.67059E+12,550,{},2022-12-09 18:37:01.634000+06:00
1.67059E+12,513,{},2022-12-09 18:37:00.644000+06:00
1.67059E+12,553,{},2022-12-09 18:36:59.422000+06:00
1.67059E+12,512,{},2022-12-09 18:36:58.509000+06:00
1.67059E+12,572,{},2022-12-09 18:36:57.496000+06:00
1.67059E+12,533,{},2022-12-09 18:36:56.609000+06:00
1.67059E+12,496,{},2022-12-09 18:36:55.518000+06:00
1.67059E+12,556,{},2022-12-09 18:36:54.501000+06:00
1.67059E+12,547,{},2022-12-09 18:36:53.185000+06:00
1.67059E+12,553,{},2022-12-09 18:36:52.097000+06:00
1.67059E+12,442,{},2022-12-09 18:36:51.101000+06:00
1.67059E+12,517,{},2022-12-09 18:36:50.204000+06:00
1.67059E+12,522,{},2022-12-09 18:36:49.077000+06:00
1.67059E+12,470,{},2022-12-09 18:36:48.243000+06:00
1.67059E+12,546,{},2022-12-09 18:36:47.325000+06:00
1.67059E+12,525,{},2022-12-09 18:36:46.003000+06:00
1.67059E+12,523,{},2022-12-09 18:36:45.027000+06:00
